SiteCode,parameter,slope_per_year,p_value,r_value
DEVA_P_BEN0606,conductivity,-40.547814207650234,0.59080590591068,-0.24865001859563182
DEVA_P_BEN0606,pH,0.2731557377049181,0.2061999628931377,0.5446266317774043
DEVA_P_BEN0606,temperature,-0.12281420765027311,0.8632275627940136,-0.0808294018626106
DEVA_P_BEN0606,dissolved_oxygen,-1.066898907103825,0.09643176943198403,-0.6746153335091101
DEVA_P_BOT0781,conductivity,-40.38430365296804,0.1890020631291911,-0.5621585428397743
DEVA_P_BOT0781,pH,0.11133561643835618,0.3641478359898597,0.4075282642350973
DEVA_P_BOT0781,temperature,-0.30165525114155256,0.09686534752855669,-0.6739811147680727
DEVA_P_BOT0781,dissolved_oxygen,-0.34656862745098027,0.4179426738700919,-0.41121708380536537
DEVA_P_BUR0315,conductivity,85.38088888888889,0.2580072443205835,0.7419927556794164
DEVA_P_BUR0315,pH,-0.1023555555555554,0.03494126385145113,-0.9650587361485489
DEVA_P_BUR0315,temperature,0.34155555555555545,0.7903549888014247,0.20964501119857537
DEVA_P_BUR0315,dissolved_oxygen,-0.7242857142857142,0.7615666904003784,-0.36583530539979614
DEVA_P_CUR0123,conductivity,28.591269841269845,0.06559990016329867,0.6761939094190422
DEVA_P_CUR0123,pH,-0.1052380952380952,0.12354783589381363,-0.590145933592104
DEVA_P_CUR0123,temperature,1.0141787439613525,0.07085438209496514,0.7151278795708848
DEVA_P_CUR0123,dissolved_oxygen,-0.6199603174603174,0.2951216881589641,-0.42401649384519824
DEVA_P_DAR0526,conductivity,3.564625850340132,0.4787721827882273,0.7302875231336772
DEVA_P_DAR0526,pH,-0.06792517006802709,0.15842841114607456,-0.9691941364254195
DEVA_P_DAR0526,temperature,-0.4605442176870746,0.10014758021131209,-0.9876520496605655
DEVA_P_DAR0526,dissolved_oxygen,0.0007482993197279085,0.4245912300193129,0.7857142857142858
DEVA_P_GNO0081,conductivity,1053.3904761904764,0.25232311813879277,0.5556302252170943
DEVA_P_GNO0081,pH,-0.036428571428571505,0.20398184535642783,-0.5468472372323695
DEVA_P_GNO0081,temperature,-0.29404761904761895,0.4874297592319181,-0.31771911799464636
DEVA_P_GNO0081,dissolved_oxygen,0.016666666666666632,0.977116311854417,0.015256975912841642
DEVA_P_GRE0679,conductivity,-24.038461538461533,0.07008950108447826,-0.9939455183078659
DEVA_P_GRE0679,pH,0.035000000000000045,0.6384119566215358,0.5379312955574888
DEVA_P_GRE0679,temperature,0.5076923076923077,0.3178060216289917,0.8779617372379763
DEVA_P_GRE0679,dissolved_oxygen,0.27512820512820524,0.21327379813060032,0.9444071209529863
DEVA_P_HAL0809,conductivity,-4.612244897959175,0.3755010045842559,-0.8310321343410806
DEVA_P_HAL0809,pH,-0.03972789115646278,0.28667342712564253,-0.9003141495000196
DEVA_P_HAL0809,temperature,-0.05544217687074831,0.6947615017273594,-0.4613067958403699
DEVA_P_HAL0809,dissolved_oxygen,0.014557823129251609,0.9535130822607203,0.0729566035117288
DEVA_P_HUM0793,conductivity,8.101904761904757,0.03870108157191478,0.8347587401524171
DEVA_P_HUM0793,pH,-0.15495238095238106,0.007033314009441166,-0.9307200067044461
DEVA_P_HUM0793,temperature,0.3685714285714285,0.325895993904062,0.48818478303254476
DEVA_P_HUM0793,dissolved_oxygen,-0.6892248062015506,0.47009428741547243,-0.42981434175889977
DEVA_P_JAC0135,pH,-0.08959459459459457,0.22955106179184026,-0.9356930653117396
DEVA_P_JAC0135,temperature,-1.113063063063063,0.34588271446773916,-0.8560015250580825
DEVA_P_LCM0255,conductivity,-0.6666666666666597,0.8221146185332102,-0.11915415986499567
DEVA_P_LCM0255,pH,0.026523809523809415,0.25492451350296913,0.5531264668897181
DEVA_P_LCM0255,temperature,-0.07714285714285718,0.623535382257542,-0.25660881117252743
DEVA_P_LCM0255,dissolved_oxygen,-0.5803333333333331,0.11539062150190693,-0.708075979581888
DEVA_P_LIT0005,conductivity,31.788471177944864,0.025191279286345757,0.7707117097457196
DEVA_P_LIT0005,pH,-0.05093567251461993,0.44863301348323914,-0.31411241411059015
DEVA_P_LIT0005,temperature,0.037593984962405916,0.9389234089881997,0.03259726601866473
DEVA_P_LIT0005,dissolved_oxygen,0.15340016708437768,0.627813836797636,0.20409624986745073
DEVA_P_LOG0713,conductivity,-0.1828828828828825,0.915040439366186,-0.13305838161207445
DEVA_P_LOG0713,pH,-0.1931981981981983,0.3469161174773433,-0.8551612126538654
DEVA_P_LOG0713,temperature,0.9364864864864866,0.3783533369335578,0.8285316752164393
DEVA_P_LOG0713,dissolved_oxygen,-0.2559909909909908,0.7125136314438798,-0.4363899749633203
DEVA_P_LOS0390,conductivity,-69.00000000000003,0.14588019313562164,-0.5634005516979238
DEVA_P_LOS0390,pH,-0.07587301587301594,0.31954652430045793,-0.40502293823051977
DEVA_P_LOS0390,temperature,-0.538095238095238,0.07615939367502153,-0.6579142237837685
DEVA_P_LOS0390,dissolved_oxygen,-0.08821428571428577,0.6236128041299966,-0.2065383580661126
DEVA_P_MAL0719,conductivity,-7.680272108843543,0.6796206953242362,-0.48227570118799934
DEVA_P_MAL0719,pH,-0.09486394557823136,0.27782241779741174,-0.9062781506559463
DEVA_P_MAL0719,temperature,-0.14897959183673468,0.824508453865894,-0.2721834987210519
DEVA_P_MAL0719,dissolved_oxygen,0.08619047619047625,0.36295327998659294,0.8418331480965989
DEVA_P_MCD0281,conductivity,49.968253968253975,0.132098513496028,0.5796104161927519
DEVA_P_MCD0281,pH,-0.10751044277360071,0.03535391727480335,-0.7412121945821297
DEVA_P_MCD0281,temperature,-0.9851211361737677,0.21320538718986645,-0.49419093777010886
DEVA_P_MCD0281,dissolved_oxygen,-0.27867167919799496,0.17159398577350096,-0.5352700132918218
DEVA_P_PAN0418,conductivity,-145.64027777777775,0.2891637697620467,-0.42876311104002457
DEVA_P_PAN0418,pH,-0.0391269841269843,0.4641904001248859,-0.3039702412906701
DEVA_P_PAN0418,temperature,0.41507936507936516,0.13855381881687573,0.5719065290541806
DEVA_P_PAN0418,dissolved_oxygen,-0.049888888888888955,0.7905559923390113,-0.11265293736544132
DEVA_P_POP0642,conductivity,9.23412698412699,0.4056881010300097,0.34289627422465047
DEVA_P_POP0642,pH,-0.06337301587301586,0.005204358093403307,-0.8679241438352974
DEVA_P_POP0642,temperature,-0.08333333333333337,0.4627408284063156,-0.3049093610149863
DEVA_P_POP0642,dissolved_oxygen,-0.2725793650793651,0.3535705533576223,-0.3796708863916838
DEVA_P_SAL0194,conductivity,1815.8666666666666,0.07515640952866383,0.8397099519306743
DEVA_P_SAL0194,pH,0.03333333333333357,0.2889267676240066,0.5959141182784987
DEVA_P_SAL0194,temperature,0.36999999999999994,0.7319697760305922,0.21211189320402574
DEVA_P_SAL0194,dissolved_oxygen,-0.8363333333333334,0.2639192642409744,-0.6206611227677935
DEVA_P_SHR0202,conductivity,-57.48809523809526,0.4860719670233499,-0.31865780698892415
DEVA_P_SHR0202,pH,-0.027341269841269715,0.47528398257204774,-0.29682169118694834
DEVA_P_SHR0202,temperature,-0.47261904761904755,0.09951828107651316,-0.6221722265779762
DEVA_P_SHR0202,dissolved_oxygen,0.0293650793650796,0.7953672987956477,0.1100220842675782
DEVA_P_WAG0635,conductivity,-4.068027210884335,0.9258052198055341,-0.1162812347285093
DEVA_P_WAG0635,pH,-0.0627210884353741,0.21079947422159148,-0.9456778338049331
DEVA_P_WAG0635,temperature,-0.8789455782312925,0.16656248833440424,-0.9659681672655049
DEVA_P_WAG0635,dissolved_oxygen,0.25744897959183677,0.22485061312357416,0.9382725286592666
DEVA_P_WAU0763,conductivity,-14.229729729729732,0.030344591921231415,-0.9988642306767405
DEVA_P_WAU0763,pH,-0.07972972972972961,0.1109961304960811,-0.984839099742835
DEVA_P_WAU0763,temperature,-0.08378378378378364,0.41140585602158486,-0.798356793601023
DEVA_P_WAU0763,dissolved_oxygen,0.023828828828828974,0.8701875257929308,0.20249884196538934
DEVA_P_WAU0880,conductivity,-25.05952380952381,0.4499714521012155,-0.31323428024032407
DEVA_P_WAU0880,pH,0.015714285714285688,0.7597623521961746,0.12956960931787675
DEVA_P_WAU0880,temperature,-0.2275396825396828,0.5976611677217892,-0.2217421360833263
DEVA_P_WAU0880,dissolved_oxygen,0.44448412698412687,0.36650817324931695,0.37032776227192776
DEVA_P_WIN0167,conductivity,-2.27006802721088,0.7602200655732407,-0.36780312724029046
DEVA_P_WIN0167,pH,0.03574829931972789,0.3931751666838691,0.8152716915820598
DEVA_P_WIN0167,temperature,-0.3697278911564627,0.7722796532088487,-0.350122880404411
DEVA_P_WIN0167,dissolved_oxygen,0.4119387755102041,0.12185692871165457,0.9817365083688728
JOTR_P_BUZ0084,conductivity,-681.0175438596491,0.3303783510153215,-0.8683369038291149
JOTR_P_BUZ0084,temperature,0.11473684210526286,0.8373934661535609,0.25265349438945633
JOTR_P_BUZ0084,dissolved_oxygen,0.05710526315789471,0.9525089046399308,0.07452966714021993
JOTR_P_CON0215,conductivity,-32.27910685805423,0.34238779788354673,-0.4738799851043185
JOTR_P_CON0215,pH,-0.12770334928229674,0.10142042282226242,-0.7272827404244034
JOTR_P_CON0215,temperature,-0.24625199362041456,0.3558371863110453,-0.4623970787302457
JOTR_P_CON0215,dissolved_oxygen,0.2192663476874003,0.41931044229704034,0.41012026012602926
JOTR_P_COT0294,conductivity,41.662679425837325,0.01898454013769528,0.8852848732685292
JOTR_P_COT0294,pH,-0.060701754385964896,0.03470584031380216,-0.8437682936777114
JOTR_P_COT0294,temperature,-0.05842503987240833,0.8604769140580275,-0.09328599077654251
JOTR_P_COT0294,dissolved_oxygen,-0.29334130781499207,0.40172590352291027,-0.42431428106791796
JOTR_P_COY0033,conductivity,-8.861111111111109,0.26300367095853505,-0.9158706121635153
JOTR_P_COY0033,pH,-0.0033333333333332624,0.9514476866688417,-0.07619188396483696
JOTR_P_COY0033,temperature,-1.0216666666666667,0.3846677132108282,-0.8229371695742556
JOTR_P_COY0033,dissolved_oxygen,0.5238888888888888,0.5494443275435641,0.6501115198693571
JOTR_P_EAS0160,conductivity,-2.3944444444444444,0.08280290272757321,-0.6471674698569416
JOTR_P_EAS0160,pH,-0.2752625570776256,0.02434888945476721,-0.8186006766202142
JOTR_P_EAS0160,temperature,0.8640476190476191,0.05886201382349345,0.6887856611511849
JOTR_P_EAS0160,dissolved_oxygen,-1.0584126984126985,0.014141751366338383,-0.8129962838873296
JOTR_P_QUE0109,conductivity,43.178431372549014,0.03034726367052197,0.9131000620255088
JOTR_P_QUE0109,pH,-0.18384615384615388,0.4812548737648543,-0.5187451262351456
JOTR_P_QUE0109,temperature,-0.24029411764705885,0.5647582800950823,-0.3490621425534023
JOTR_P_QUE0109,dissolved_oxygen,-0.12156862745098045,0.8033302744551033,-0.15508800736652867
JOTR_P_RAT0101,conductivity,4.344444444444439,0.7696186024325187,0.35403520286405304
JOTR_P_RAT0101,pH,0.040000000000000036,0.4981886044251495,0.7091158707561868
JOTR_P_RAT0101,temperature,-1.1649999999999998,0.2306960064025985,-0.9350570233551813
JOTR_P_RAT0101,dissolved_oxygen,0.5338888888888889,0.23601510163288258,0.9320625184484465
LAKE_P_BIG0045,conductivity,-10.71052631578947,0.39693212467436295,-0.8118401310145492
LAKE_P_BIG0045,pH,-0.036403508771929764,0.6236942646356823,-0.5572744442632808
LAKE_P_BIG0045,temperature,-0.9059649122807023,0.5986982780019074,-0.5894382519029936
LAKE_P_BIG0045,dissolved_oxygen,0.13087719298245612,0.6625565117455329,0.5055807877982713
LAKE_P_BUR0017,conductivity,39.35964912280699,0.5960081834830249,0.5928464682133485
LAKE_P_BUR0017,pH,-0.08447368421052627,0.36012984426046757,-0.844218621304136
LAKE_P_BUR0017,temperature,0.1254385964912284,0.8348069765004623,0.2565824350829025
LAKE_P_BUR0017,dissolved_oxygen,1.1310526315789473,0.45393098609286897,0.7563812969363695
LAKE_P_COR0023,conductivity,-66.70555555555555,0.5934093287216033,-0.20681524595215303
LAKE_P_COR0023,pH,0.0008888888888888206,0.9748359822893784,0.012353929410122172
LAKE_P_COR0023,temperature,-0.5300000000000002,0.058587382416539345,-0.649006623079508
LAKE_P_COR0023,dissolved_oxygen,0.30125265392781314,0.19011545553249695,0.5163984673897732
LAKE_P_DAW0052,conductivity,41.31578947368425,0.7653344230522219,0.3603208516536431
LAKE_P_DAW0052,pH,0.1027192982456141,0.5928848038422035,0.5967903507687806
LAKE_P_DAW0052,temperature,0.8357894736842099,0.35510573536530166,0.8484223126138969
LAKE_P_DAW0052,dissolved_oxygen,0.6433333333333332,0.5390214984746707,0.6624640243797705
LAKE_P_FER0090,conductivity,77.94047619047616,0.45064704264540245,0.7597454920106854
LAKE_P_FER0090,pH,0.16630952380952377,0.38369120198203793,0.8238076595278211
LAKE_P_FER0090,temperature,1.4185714285714282,0.07022611406462442,0.9939219174223302
LAKE_P_FER0090,dissolved_oxygen,0.7854761904761905,0.5290576586017486,0.6741065972794628
LAKE_P_GET0066,conductivity,1759.990476190476,0.2867682869118915,0.523238221130827
LAKE_P_GET0066,pH,-0.05671428571428603,0.6556725912621888,-0.23381230461840483
LAKE_P_GET0066,temperature,-0.00028571428571402585,0.9997287167564867,-0.00018085549764740525
LAKE_P_GET0066,dissolved_oxygen,0.533952380952381,0.6938840813540218,0.20703537619078793
LAKE_P_GRA0058,conductivity,6.883333333333334,0.041445539480229804,0.685709797949599
LAKE_P_GRA0058,pH,-0.027727777777777827,0.03761118803301286,-0.6952122005232222
LAKE_P_GRA0058,temperature,0.05783333333333314,0.8567232172044026,0.0706237098953323
LAKE_P_GRA0058,dissolved_oxygen,0.2305555555555556,0.43369450662301157,0.2994725546615132
LAKE_P_HOR0042,conductivity,40.05472636815919,0.24886299517251637,0.6358609130234678
LAKE_P_HOR0042,pH,-0.06661691542288531,0.09621195863889492,-0.8104321732408749
LAKE_P_HOR0042,temperature,0.15798507462686565,0.6630937074619786,0.26784348195705837
LAKE_P_HOR0042,dissolved_oxygen,-0.09547263681592033,0.827222994315672,-0.13612027499633636
LAKE_P_LAT0077,conductivity,64.2456140350877,0.4824838993729419,0.7262921881136841
LAKE_P_LAT0077,pH,0.12684210526315784,0.604933847320328,0.5814977251761414
LAKE_P_LAT0077,temperature,0.21087719298245675,0.8685091292766018,0.20507993429605187
LAKE_P_LAT0077,dissolved_oxygen,1.126578947368421,0.45649901843954693,0.7537364801691547
LAKE_P_LOS0009,conductivity,57.59649122807016,0.7835740892697236,0.3334503485885558
